REF_ID,SOURCE_NAME,TARGET_COHORT_DEFINITION_ID,TARGET_NAME,TAR_ID,TAR_START_WITH,TAR_START_OFFSET,TAR_END_WITH,TAR_END_OFFSET,SUBGROUP_ID,SUBGROUP_NAME,OUTCOME_ID,OUTCOME_COHORT_DEFINITION_ID,OUTCOME_NAME,CLEAN_WINDOW,AGE_ID,AGE_GROUP_NAME,GENDER_ID,GENDER_NAME,START_YEAR,PERSONS_AT_RISK_PE,PERSONS_AT_RISK,PERSON_DAYS_PE,PERSON_DAYS,PERSON_OUTCOMES_PE,PERSON_OUTCOMES,OUTCOMES_PE,OUTCOMES,INCIDENCE_PROPORTION_P100P,INCIDENCE_RATE_P100PY,database_id
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,7,50 - 59,NA,NA,NA,55424,55249,105278135,104767061,213,213,213,213,0.38552733986135496,0.07425831101628402,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,8,60 - 69,NA,NA,NA,37826,37594,69872355,69423620,129,129,129,129,0.3431398627440549,0.06786919207036453,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,9,70 - 79,NA,NA,NA,18656,18419,34458172,33579804,464,464,464,464,2.519137846788642,0.5046962156181733,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,10,80 - 89,NA,NA,NA,7045,6738,10127302,9661874,107,107,107,107,1.5880083110715346,0.4044945111062305,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,11,>=90,NA,NA,NA,3963,3853,7514088,7346348,-10,-10,-10,-10,0.23358422008824292,0.04474672313372576,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,1,<3,NA,NA,NA,18619,18619,6585782,6585782,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,2,3 - 12,NA,NA,NA,44211,44211,74444498,74444498,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,3,13 - 17,NA,NA,NA,37978,37978,46323276,46323276,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,4,18 - 29,NA,NA,NA,60062,60062,123561257,123561257,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,5,30 - 39,NA,NA,NA,51364,51364,96599403,96599403,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,6,40 - 49,NA,NA,NA,57283,57283,111183565,111183565,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,7,50 - 59,NA,NA,NA,55424,55424,105278135,105278135,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,8,60 - 69,NA,NA,NA,37826,37826,69872355,69872355,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,9,70 - 79,NA,NA,NA,18656,18656,34458172,34458172,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,10,80 - 89,NA,NA,NA,7045,7045,10127302,10127302,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,11,>=90,NA,NA,NA,3963,3963,7514088,7514088,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,1,<3,8507,MALE,NA,9081,9081,3215613,3215613,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,1,<3,8532,FEMALE,NA,9538,9538,3370169,3370169,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,2,3 - 12,8507,MALE,NA,21687,21687,36320228,36320228,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,2,3 - 12,8532,FEMALE,NA,22524,22524,38124270,38124270,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,3,13 - 17,8507,MALE,NA,18547,18547,22760492,22760492,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,3,13 - 17,8532,FEMALE,NA,19431,19431,23562784,23562784,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,4,18 - 29,8507,MALE,NA,29405,29405,59000199,59000199,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,4,18 - 29,8532,FEMALE,NA,30657,30657,64561058,64561058,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,5,30 - 39,8507,MALE,NA,24865,24865,46681142,46681142,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,5,30 - 39,8532,FEMALE,NA,26499,26499,49918261,49918261,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,6,40 - 49,8507,MALE,NA,27987,27982,53617989,53591032,37,37,37,37,0.13222786076763635,0.025217372190182864,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,6,40 - 49,8532,FEMALE,NA,29296,29293,57565576,57533953,46,46,46,46,0.15703410371078413,0.029202756153396934,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,7,50 - 59,8507,MALE,NA,27352,27260,51987381,51742443,95,95,95,95,0.34849596478356565,0.06706051741700715,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,7,50 - 59,8532,FEMALE,NA,28072,27989,53290754,53024618,118,118,118,118,0.4215941977205331,0.08128205657228875,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,8,60 - 69,8507,MALE,NA,18740,18638,34175218,33996534,43,43,43,43,0.23071144972636548,0.04619809184077412,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,8,60 - 69,8532,FEMALE,NA,19086,18956,35697137,35427086,86,86,86,86,0.45368221143701204,0.0886652094389022,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,9,70 - 79,8507,MALE,NA,9224,9136,16934389,16665237,134,134,134,134,1.4667250437828372,0.2936861924015842,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,9,70 - 79,8532,FEMALE,NA,9432,9283,17523783,16914567,330,330,330,330,3.554885274157061,0.7125958352939216,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,10,80 - 89,8507,MALE,NA,3459,3370,4867442,4744067,22,22,22,22,0.6528189910979229,0.16937998556934378,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,10,80 - 89,8532,FEMALE,NA,3586,3368,5259860,4917807,85,85,85,85,2.5237529691211402,0.631302733108477,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,11,>=90,8507,MALE,NA,1904,1875,3640985,3592392,-10,-10,-10,-10,0.16,0.030501960810512884,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,11,>=90,8532,FEMALE,NA,2059,1978,3873103,3753956,-10,-10,-10,-10,0.3033367037411527,0.058378414664423346,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,1,<3,8507,MALE,NA,9081,9081,3215613,3215613,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,1,<3,8532,FEMALE,NA,9538,9538,3370169,3370169,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,2,3 - 12,8507,MALE,NA,21687,21687,36320228,36320228,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,2,3 - 12,8532,FEMALE,NA,22524,22524,38124270,38124270,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,3,13 - 17,8507,MALE,NA,18547,18547,22760492,22760492,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,3,13 - 17,8532,FEMALE,NA,19431,19431,23562784,23562784,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,4,18 - 29,8507,MALE,NA,29405,29405,59000199,59000199,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,4,18 - 29,8532,FEMALE,NA,30657,30657,64561058,64561058,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,5,30 - 39,8507,MALE,NA,24865,24865,46681142,46681142,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,5,30 - 39,8532,FEMALE,NA,26499,26499,49918261,49918261,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,6,40 - 49,8507,MALE,NA,27987,27987,53617989,53617989,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,6,40 - 49,8532,FEMALE,NA,29296,29296,57565576,57565576,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,7,50 - 59,8507,MALE,NA,27352,27352,51987381,51987381,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,7,50 - 59,8532,FEMALE,NA,28072,28072,53290754,53290754,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,8,60 - 69,8507,MALE,NA,18740,18740,34175218,34175218,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,8,60 - 69,8532,FEMALE,NA,19086,19086,35697137,35697137,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,9,70 - 79,8507,MALE,NA,9224,9224,16934389,16934389,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,9,70 - 79,8532,FEMALE,NA,9432,9432,17523783,17523783,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,10,80 - 89,8507,MALE,NA,3459,3459,4867442,4867442,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,10,80 - 89,8532,FEMALE,NA,3586,3586,5259860,5259860,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,11,>=90,8507,MALE,NA,1904,1904,3640985,3640985,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,2,863001,"Cognitive impairment, incident",0,11,>=90,8532,FEMALE,NA,2059,2059,3873103,3873103,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,1,<3,NA,NA,2012,133,133,47182,47182,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,1,<3,NA,NA,2013,156,156,55113,55113,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,1,<3,NA,NA,2014,654,654,237338,237338,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,1,<3,NA,NA,2015,2205,2205,802990,802990,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,1,<3,NA,NA,2016,2259,2259,821774,821774,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,1,<3,NA,NA,2017,2250,2250,819581,819581,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,1,<3,NA,NA,2018,2206,2206,803175,803175,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,1,<3,NA,NA,2019,2190,2190,797497,797497,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,1,<3,NA,NA,2020,2177,2177,792777,792777,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,1,<3,NA,NA,2021,2218,2218,807981,807981,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,1,<3,NA,NA,2022,2226,2226,600374,600374,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,2,3 - 12,NA,NA,2012,7652,7652,2785485,2785485,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,2,3 - 12,NA,NA,2013,7516,7516,2738083,2738083,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,2,3 - 12,NA,NA,2014,9674,9674,3524820,3524820,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,2,3 - 12,NA,NA,2015,25335,25335,9238020,9238020,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,2,3 - 12,NA,NA,2016,24877,24877,9073634,9073634,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,2,3 - 12,NA,NA,2017,24397,24397,8897099,8897099,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,2,3 - 12,NA,NA,2018,23861,23861,8702561,8702561,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,2,3 - 12,NA,NA,2019,23220,23220,8469192,8469192,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,2,3 - 12,NA,NA,2020,22654,22654,8260679,8260679,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,2,3 - 12,NA,NA,2021,22474,22474,8186834,8186834,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,2,3 - 12,NA,NA,2022,21707,21707,4568091,4568091,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,3,13 - 17,NA,NA,2012,6303,6303,2296479,2296479,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,3,13 - 17,NA,NA,2013,6678,6678,2434145,2434145,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,3,13 - 17,NA,NA,2014,8730,8730,3182582,3182582,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,3,13 - 17,NA,NA,2015,14846,14846,5416166,5416166,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,3,13 - 17,NA,NA,2016,14475,14475,5280295,5280295,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,3,13 - 17,NA,NA,2017,14102,14102,5143718,5143718,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,3,13 - 17,NA,NA,2018,13843,13843,5048349,5048349,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,3,13 - 17,NA,NA,2019,13706,13706,4999836,4999836,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,3,13 - 17,NA,NA,2020,13476,13476,4914335,4914335,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,3,13 - 17,NA,NA,2021,13153,13153,4793992,4793992,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,3,13 - 17,NA,NA,2022,12485,12485,2813379,2813379,0,0,0,0,0,0,518569167
1,518569167,1071,persons at risk at start of year 2012-2022 with 365d prior observation,2,start,1,start,365,0,All,1,862,"Earliest event of Alzheimer's disease derived from Imfeld, 2",9999,4,18 - 29,NA,NA,2012,28649,28649,10450595,10450595,0,0,0,0,0,0,518569167
